VehicleID,Time,LaneID,Lateral,Longitudinal,Speed,Speed_kph,Acceleration,VehicleLength,Width,Gap,Headway
2,3.9000000000000004,4,0.0,30.40000000000001,16.0,57.6,0.0,5.7,1.7,0.0,2
3,4.0,4,0.0,0.0,16,57.6,0.0,5.7,1.7,0.0,2
1,4.1000000000000005,4,0.0,62.400000000000034,16.0,57.6,0.0,5.7,1.7,0.0,2
2,4.1000000000000005,4,0.0,32.00000000000001,16.0,57.6,0.0,5.7,1.7,0.0,2
3,4.1000000000000005,4,0.0,1.6,16.0,57.6,0.0,5.7,1.7,0.0,2
1,4.2,4,0.0,64.00000000000003,16.0,57.6,0.0,5.7,1.7,0.0,2
2,4.2,4,0.0,33.60000000000001,16.0,57.6,0.0,5.7,1.7,0.0,2
3,4.2,4,0.0,3.2,16.0,57.6,0.0,5.7,1.7,0.0,2
1,4.3,4,0.0,65.60000000000002,16.0,57.6,0.0,5.7,1.7,0.0,2
2,4.3,4,0.0,35.20000000000001,16.0,57.6,0.0,5.7,1.7,0.0,2
3,4.3,4,0.0,4.800000000000001,16.0,57.6,0.0,5.7,1.7,0.0,2
1,4.4,4,0.0,67.20000000000002,16.0,57.6,0.0,5.7,1.7,0.0,2
2,4.4,4,0.0,36.80000000000001,16.0,57.6,0.0,5.7,1.7,0.0,2
3,4.4,4,0.0,6.4,16.0,57.6,0.0,5.7,1.7,0.0,2
1,4.5,4,0.0,68.80000000000001,16.0,57.6,0.0,5.7,1.7,0.0,2
2,4.5,4,0.0,38.40000000000001,16.0,57.6,0.0,5.7,1.7,0.0,2
3,4.5,4,0.0,8.0,16.0,57.6,0.0,5.7,1.7,0.0,2
1,4.6000000000000005,4,0.0,70.4,16.0,57.6,0.0,5.7,1.7,0.0,2
2,4.6000000000000005,4,0.0,40.000000000000014,16.0,57.6,0.0,5.7,1.7,0.0,2
3,4.6000000000000005,4,0.0,9.6,16.0,57.6,0.0,5.7,1.7,0.0,2
1,4.7,4,0.0,72.0,16.0,57.6,0.0,5.7,1.7,0.0,2
2,4.7,4,0.0,41.600000000000016,16.0,57.6,0.0,5.7,1.7,0.0,2
3,4.7,4,0.0,11.2,16.0,57.6,0.0,5.7,1.7,0.0,2
1,4.800000000000001,4,0.0,73.6,16.0,57.6,0.0,5.7,1.7,0.0,2
2,4.800000000000001,4,0.0,43.20000000000002,16.0,57.6,0.0,5.7,1.7,0.0,2
