Vehicle_Ramp_ID,Time,LaneID,Lateral,Longitudinal,Speed,Speed_kph,Acceleration,VehicleLength,Width,Gap,Headway,SpeedInit,AccelerationMerge,LC
2,3.8000000000000003,5,0.0,6.3999999999999995,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
1,3.9000000000000004,5,0.0,30.400000000000016,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
2,3.9000000000000004,5,0.0,7.199999999999999,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
1,4.0,5,0.0,31.200000000000017,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
2,4.0,5,0.0,7.999999999999999,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
1,4.1000000000000005,5,0.0,32.000000000000014,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
2,4.1000000000000005,5,0.0,8.799999999999999,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
1,4.2,5,0.0,32.80000000000001,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
2,4.2,5,0.0,9.6,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
1,4.3,5,0.0,33.60000000000001,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
2,4.3,5,0.0,10.4,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
1,4.4,5,0.0,34.400000000000006,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
2,4.4,5,0.0,11.200000000000001,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
1,4.5,5,0.0,35.2,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
2,4.5,5,0.0,12.000000000000002,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
1,4.6000000000000005,5,0.0,36.0,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
2,4.6000000000000005,5,0.0,12.800000000000002,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
1,4.7,5,0.0,36.8,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
2,4.7,5,0.0,13.600000000000003,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
1,4.800000000000001,5,0.0,37.599999999999994,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
2,4.800000000000001,5,0.0,14.400000000000004,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
1,4.9,5,0.0,38.39999999999999,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
2,4.9,5,0.0,15.200000000000005,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
1,5.0,5,0.0,39.19999999999999,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
2,5.0,5,0.0,16.000000000000004,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
1,5.1000000000000005,5,0.0,39.999999999999986,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
2,5.1000000000000005,5,0.0,16.800000000000004,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
1,5.2,5,0.0,40.79999999999998,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
2,5.2,5,0.0,17.600000000000005,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
1,5.300000000000001,5,0.0,41.59999999999998,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
2,5.300000000000001,5,0.0,18.400000000000006,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
1,5.4,5,0.0,42.39999999999998,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
2,5.4,5,0.0,19.200000000000006,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
1,5.5,5,0.0,43.199999999999974,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
2,5.5,5,0.0,20.000000000000007,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
1,5.6000000000000005,5,0.0,43.99999999999997,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
2,5.6000000000000005,5,0.0,20.800000000000008,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
1,5.7,5,0.0,44.79999999999997,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
2,5.7,5,0.0,21.60000000000001,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
1,5.800000000000001,5,0.0,45.599999999999966,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
2,5.800000000000001,5,0.0,22.40000000000001,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
1,5.9,5,0.0,46.39999999999996,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
2,5.9,5,0.0,23.20000000000001,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
3,6.0,5,0.0,0.0,8,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
1,6.1000000000000005,5,0.0,47.19999999999996,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
2,6.1000000000000005,5,0.0,24.00000000000001,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
3,6.1000000000000005,5,0.0,0.8,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
1,6.2,5,0.0,47.99999999999996,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
2,6.2,5,0.0,24.80000000000001,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
3,6.2,5,0.0,1.6,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
1,6.300000000000001,5,0.0,48.799999999999955,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
2,6.300000000000001,5,0.0,25.600000000000012,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
3,6.300000000000001,5,0.0,2.4000000000000004,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
1,6.4,5,0.0,49.59999999999995,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
2,6.4,5,0.0,26.400000000000013,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
3,6.4,5,0.0,3.2,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
1,6.5,5,0.0,50.39999999999995,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
2,6.5,5,0.0,27.200000000000014,8.0,28.8,0.0,5.7,1.7,0.0,3,8.0,2.0,100.0
